number,name,votes,electronic,abroad,mandate,district,party
348,Marika Valter,526,302,2,#N/A,12,Eesti Reformierakond
1115,Mart Maastik,523,240,2,#N/A,5,Isamaa Erakond
337,Aivar Rosenberg,512,250,0,#N/A,11,Eesti Reformierakond
317,Raivo Meitus,510,276,0,#N/A,9,Eesti Reformierakond
1169,Ulla Preeden,510,259,1,#N/A,11,Isamaa Erakond
558,Juhan-Mart Salumäe,509,307,0,#N/A,8,Sotsiaaldemokraatlik Erakond
514,Rene Tammist,506,319,2,#N/A,4,Sotsiaaldemokraatlik Erakond
566,Priit Lomp,503,184,1,#N/A,9,Sotsiaaldemokraatlik Erakond
1177,Ela Tomson,501,195,6,#N/A,12,Isamaa Erakond
584,Rein Randver,499,160,1,#N/A,11,Sotsiaaldemokraatlik Erakond
1149,Tiit Lääne,498,211,1,#N/A,9,Isamaa Erakond
138,Juku-Kalle Raid,497,233,2,#N/A,4,Eesti Vabaerakond
966,Vladimir Velman,496,105,0,#N/A,4,Eesti Keskerakond
487,Andrus Vaarik,495,270,3,#N/A,1,Sotsiaaldemokraatlik Erakond
941,Kalle Klandorf,492,119,1,#N/A,2,Eesti Keskerakond
788,Meelis Aianurm,480,162,5,#N/A,11,Eesti Konservatiivne Rahvaerakond
1098,Toomas Tõniste,479,224,1,#N/A,4,Isamaa Erakond
494,Madle Lippus,478,357,3,#N/A,2,Sotsiaaldemokraatlik Erakond
230,Ants Leemets,477,318,4,#N/A,1,Eesti Reformierakond
493,Triin Toomesaar,476,366,0,#N/A,2,Sotsiaaldemokraatlik Erakond
1167,Merle Jääger,474,226,1,#N/A,11,Isamaa Erakond
1119,Anti Toplaan,473,203,3,#N/A,5,Isamaa Erakond
987,Maksim Butšenkov,465,82,2,#N/A,6,Eesti Keskerakond
949,Sergei Ptšjolkin,460,108,1,#N/A,2,Eesti Keskerakond
285,Maire Forsel,460,327,3,#N/A,5,Eesti Reformierakond
1062,Helen Hääl,459,299,1,#N/A,1,Isamaa Erakond
312,Taimo Tugi,459,236,0,#N/A,8,Eesti Reformierakond
489,Monika Haukanõmm,456,277,1,#N/A,2,Sotsiaaldemokraatlik Erakond
754,Rein Suurkask,456,156,1,#N/A,8,Eesti Konservatiivne Rahvaerakond
868,Ahti Puur,454,187,0,#N/A,7,Erakond Eesti 200
886,Aleksandr Širokov,453,125,0,#N/A,9,Erakond Eesti 200
887,Ülle Pärl,453,299,1,#N/A,9,Erakond Eesti 200
1063,Priidu Pärna,451,259,0,#N/A,1,Isamaa Erakond
1035,Janika Usin,450,149,0,#N/A,11,Eesti Keskerakond
338,Margus Lepik,449,224,0,#N/A,11,Eesti Reformierakond
296,Maris Toomel,448,283,1,#N/A,7,Eesti Reformierakond
1131,Marja-Liisa Veiser,448,188,0,#N/A,7,Isamaa Erakond
957,Helle Kalda,447,104,0,#N/A,3,Eesti Keskerakond
719,Jaanus Härms,445,164,2,#N/A,4,Eesti Konservatiivne Rahvaerakond
